"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2019-08-26T14:37:41+00:00","111-1278197-3214657","DS-0100-3","B07GKKK93X","X001V5IPJH","DasMarine 3 Pack Single Pulley Block in 304 Stainless Steel Crane Swivel Hook Single Pulley Roller Loading (M25)","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN282830394",
"2019-08-26T14:35:46+00:00","111-1278197-3214657","DS-0104-2","B07GJL7W9T","X001V4HW6Z","DasMarine 2 Pack M20 Double Pulley Block in 304 Stainless Steel Crane Swivel Hook Double Pulley Roller Loading (M20)","1","IND8","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNN282830392",
"2019-08-26T14:13:13+00:00","112-7895729-3305854","DS-0152","B07KJMJ2T6","X001YC1EE5","Homend 4-Pack 2-inch Antique Copper Ball Caster with 5/16"" x 1 1/2"" (8 x 38mm) Socket Type Mounting Stem, 360 lbs. Total Capacity (4 Pack, 2Inch with","1","LEX2","CUSTOMER_DAMAGED","FOUND_BETTER_PRICE","Unit returned to inventory","LPNRR783498627",
"2019-08-26T14:04:40+00:00","111-4961648-2904208","AB-0537-01","B07FBJPYXS","X001TVZCKD","Homend 12pcs Cast Iron Wall Mount Bottle Openers, Mounting Hardware Included, Vintage Rustic Bar( Wood Block is not Included)","1","LEX1","SELLABLE","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNRR789149283",
"2019-08-26T12:31:56+00:00","112-0458191-4130637","SA-0013","B07HNTBJYL","X001WHUPG5","Homend DC12V 8inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","IND8","CUSTOMER_DAMAGED","MISSING_PARTS","Unit returned to inventory","LPNN282827686",
"2019-08-26T12:23:30+00:00","113-8235013-5498642","DS-0276","B07SM5PJDT","X0027CPAEL","Homend 2 Pack 200N/44lb Heavy Duty Gas Springs Lid Support Hinge Pneumatic Lid Lifters with Soft Close Support Heavy Drop Lids and Work Perfectly for","1","LAS2","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR747844250",
"2019-08-26T12:21:54+00:00","113-8235013-5498642","DS-0276","B07SM5PJDT","X0027CPAEL","Homend 2 Pack 200N/44lb Heavy Duty Gas Springs Lid Support Hinge Pneumatic Lid Lifters with Soft Close Support Heavy Drop Lids and Work Perfectly for","1","LAS2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR747844249",
"2019-08-26T12:13:59+00:00","114-5348851-9901068","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRR801434988","B07CKBGP18:***LEAD*** wants advance refund Does not work / defective"
"2019-08-26T11:41:41+00:00","114-0085251-6305018","JK-0179","B07CJQTFBH","X001RDINLD","Homend Automatic Waterer Bowl Farm Grade Stainless Stock Waterer Horse Cattle Goat Sheep Dog Water (Without Drainage Hole)","1","IND8","DEFECTIVE","UNDELIVERABLE_INSUFFICIENT_ADDRESS","Unit returned to inventory","LPNN263288230",
"2019-08-26T07:02:27+00:00","113-8245755-3715425","YI-0385","B07GRN6L4P","X001VDVU3H","DasMarine 4 Step Ladder Under Platform Sliding Ladder Stainless Steel 316 Spring Loaded Latch with a Carry Handle (4 Step Ladder)","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM042683882",
